fips,age_adjusted
01001,937.6
01003,806
01005,964.8
01007,1025.2
01009,946
01011,1026.5
01013,1018.5
01015,1076.4
01017,1038.5
01019,982.1
01021,1023.6
01023,938.5
01025,958.8
01027,1000.1
01029,1010.4
01031,904.2
01033,969.3
01035,1022.7
01037,972.2
01039,1002.2
01041,1029.5
01043,1019.7
01045,923.2
01047,1147.4
01049,992.4
01051,937.5
01053,1055
01055,1098.1
01057,1030.5
01059,1089
01061,993.1
01063,968.2
01065,1030.9
01067,941.1
01069,898.9
01071,1046.6
01073,982.8
01075,998.1
01077,901.9
01079,1046.8
01081,865
01083,860.6
01085,1101.5
01087,1077.5
01089,827.6
01091,1000.4
01093,1005.5
01095,1034.8
01097,980.6
01099,950.4
01101,919.5
01103,956.1
01105,1120.8
01107,1011.8
01109,999.4
01111,999.6
01113,1068.8
01115,998.6
01117,729.3
01119,967.9
01121,1059.5
01123,1001
01125,943.5
01127,1238.5
01129,971
01131,1083.8
01133,1001.7
02013,348.8
02016,650.5
02020,729.9
02050,1053.4
02060,872.8
02068,678.4
02070,979.2
02090,719.7
02100,646
02105,616.9
02110,680.7
02122,746.7
02130,771
02150,702.3
02164,1137.8
02170,767.4
02180,1106
02185,1005
02188,964.2
02195,688.4
02198,912.9
02201,807.3
02220,690.8
02230,455.3
02232,635.8
02240,808.8
02261,837.1
02270,1246.5
02275,667.1
02280,836.9
02282,613.1
02290,1011.1
04001,967.7
04003,771.7
04005,715.1
04007,904.6
04009,842.9
04011,736.5
04012,741
04013,703.8
04015,915.8
04017,900.5
04019,735.8
04021,642.8
04023,591
04025,743.1
04027,610.6
05001,1038.3
05003,1001
05005,877.7
05007,719.6
05009,860.8
05011,1030.1
05013,921.9
05015,825.5
05017,1032.8
05019,955.9
05021,1034.8
05023,853.3
05025,949.4
05027,1001.2
05029,926.6
05031,921
05033,930.8
05035,1111.3
05037,1046.3
05039,1022.7
05041,1061.8
05043,929.1
05045,878.1
05047,939.3
05049,911.2
05051,945.2
05053,939.8
05055,992.9
05057,932.6
05059,965.1
05061,1030
05063,933.3
05065,905.5
05067,1078
05069,1024.8
05071,897.3
